Company Name,Industry,Budget Range,Location,Target Audience,Marketing Goals,Commitment Level Years,sport
UniqueCompany_0,Food & Beverage,"Over 100,000",Ahmedabad,Seniors,Sales Increase,4.85,Basketball
UniqueCompany_1,Fashion,"20,000-100,000",Visakhapatnam,Seniors,Market Expansion,0.76,Tennis
UniqueCompany_2,Technology,"20,000-100,000",Ghaziabad,Teens,Sales Increase,4.09,Wrestling
UniqueCompany_3,Fashion,"1,000-5,000",Ludhiana,Seniors,Brand Awareness,4.09,Soccer
UniqueCompany_4,Healthcare,"20,000-100,000",Varanasi,Adults,Market Expansion,1,Basketball
UniqueCompany_5,Fashion,"20,000-100,000",Nagpur,Teens,Market Expansion,2.6,Soccer
UniqueCompany_6,Technology,"20,000-100,000",Kanpur,Teens,Market Expansion,3.89,Wrestling
UniqueCompany_7,Fashion,"1,000-5,000",Nashik,Young Adults,Brand Awareness,4.25,Wrestling
UniqueCompany_8,Finance,"1,000-5,000",Faridabad,Young Adults,Sales Increase,3.81,Wrestling
UniqueCompany_9,Technology,"1,000-5,000",Aurangabad,Teens,Brand Awareness,3.4,Cricket
UniqueCompany_10,Sports,"1,000-5,000",Chennai,Teens,Sales Increase,3.99,Athletics
UniqueCompany_11,Healthcare,"1,000-5,000",Patna,Seniors,Sales Increase,0.87,Tennis
UniqueCompany_12,Food & Beverage,"Over 100,000",Hyderabad,Teens,Brand Awareness,2.73,Soccer
UniqueCompany_13,Healthcare,"1,000-5,000",Jaipur,Seniors,Brand Awareness,2.92,Football
UniqueCompany_14,Finance,"1,000-5,000",Rajkot,Teens,Brand Awareness,0.75,Swimming
UniqueCompany_15,Healthcare,"Over 100,000",Mumbai,Teens,Sales Increase,4.88,Tennis
UniqueCompany_16,Healthcare,"20,000-100,000",Ludhiana,Teens,Sales Increase,1.16,Swimming
UniqueCompany_17,Finance,"20,000-100,000",Varanasi,Young Adults,Sales Increase,2.11,Wrestling
UniqueCompany_18,Finance,"20,000-100,000",Meerut,Adults,Brand Awareness,1.88,Athletics
UniqueCompany_19,Technology,"5,000-20,000",Delhi,Young Adults,Market Expansion,2.25,Wrestling
UniqueCompany_20,Sports,"Over 100,000",Varanasi,Adults,Market Expansion,2.68,Swimming
UniqueCompany_21,Sports,"Over 100,000",Ludhiana,Teens,Brand Awareness,2.7,Athletics
UniqueCompany_22,Technology,"Over 100,000",Hyderabad,Young Adults,Brand Awareness,2.01,Soccer
UniqueCompany_23,Food & Beverage,"20,000-100,000",Faridabad,Adults,Brand Awareness,2.28,Soccer
UniqueCompany_24,Healthcare,"5,000-20,000",Jaipur,Teens,Market Expansion,4.06,Football
UniqueCompany_25,Fashion,"1,000-5,000",Surat,Adults,Market Expansion,4.15,Basketball
UniqueCompany_26,Fashion,"1,000-5,000",Dhanbad,Adults,Brand Awareness,4.73,Football
UniqueCompany_27,Food & Beverage,"1,000-5,000",Meerut,Adults,Market Expansion,2.34,Athletics
UniqueCompany_28,Healthcare,"Over 100,000",Thane,Seniors,Brand Awareness,0.73,Swimming
UniqueCompany_29,Finance,"Over 100,000",Amritsar,Seniors,Market Expansion,1.66,Wrestling
UniqueCompany_30,Food & Beverage,"1,000-5,000",Nagpur,Teens,Sales Increase,4.1,Basketball
UniqueCompany_31,Food & Beverage,"20,000-100,000",Ahmedabad,Seniors,Sales Increase,0.87,Tennis
UniqueCompany_32,Finance,"Over 100,000",Ludhiana,Teens,Sales Increase,2.71,Basketball
UniqueCompany_33,Healthcare,"Over 100,000",Surat,Young Adults,Sales Increase,3.03,Basketball
UniqueCompany_34,Finance,"5,000-20,000",Surat,Young Adults,Market Expansion,2.35,Tennis
UniqueCompany_35,Sports,"1,000-5,000",Lucknow,Teens,Sales Increase,2.86,Football
UniqueCompany_36,Food & Beverage,"20,000-100,000",Pune,Adults,Brand Awareness,1.48,Soccer
UniqueCompany_37,Healthcare,"5,000-20,000",Bhopal,Adults,Brand Awareness,1.1,Swimming
UniqueCompany_38,Technology,"1,000-5,000",Faridabad,Young Adults,Brand Awareness,2.41,Tennis
UniqueCompany_39,Food & Beverage,"Over 100,000",Aurangabad,Seniors,Brand Awareness,2.97,Football
UniqueCompany_40,Technology,"1,000-5,000",Lucknow,Adults,Brand Awareness,4.71,F1-Racing
UniqueCompany_41,Technology,"1,000-5,000",Kolkata,Adults,Brand Awareness,3.93,Cricket
UniqueCompany_42,Healthcare,"20,000-100,000",Dhanbad,Adults,Market Expansion,0.77,Basketball
UniqueCompany_43,Fashion,"Over 100,000",Nashik,Seniors,Market Expansion,2.97,F1-Racing
UniqueCompany_44,Technology,"Over 100,000",Aurangabad,Young Adults,Brand Awareness,2.67,F1-Racing
UniqueCompany_45,Technology,"5,000-20,000",Nagpur,Teens,Brand Awareness,3.11,Basketball
UniqueCompany_46,Fashion,"20,000-100,000",Mumbai,Adults,Market Expansion,1.12,Athletics
UniqueCompany_47,Technology,"Over 100,000",Patna,Seniors,Brand Awareness,3.23,Athletics
UniqueCompany_48,Technology,"1,000-5,000",Allahabad,Seniors,Sales Increase,1.39,Soccer
UniqueCompany_49,Healthcare,"5,000-20,000",Patna,Teens,Brand Awareness,0.59,Swimming
UniqueCompany_50,Finance,"1,000-5,000",Ahmedabad,Adults,Brand Awareness,2.99,Cricket
UniqueCompany_51,Food & Beverage,"20,000-100,000",Agra,Young Adults,Market Expansion,2.97,Tennis
UniqueCompany_52,Technology,"1,000-5,000",Faridabad,Young Adults,Market Expansion,3.37,Cricket
UniqueCompany_53,Fashion,"20,000-100,000",Dhanbad,Teens,Market Expansion,4.76,Athletics
UniqueCompany_54,Food & Beverage,"20,000-100,000",Indore,Adults,Sales Increase,3.01,Wrestling
UniqueCompany_55,Technology,"20,000-100,000",Ahmedabad,Young Adults,Sales Increase,3.23,Athletics
UniqueCompany_56,Sports,"1,000-5,000",Meerut,Seniors,Market Expansion,2.77,Basketball
UniqueCompany_57,Healthcare,"1,000-5,000",Nashik,Teens,Sales Increase,3.45,Athletics
UniqueCompany_58,Fashion,"1,000-5,000",Nagpur,Teens,Market Expansion,0.63,Tennis
UniqueCompany_59,Food & Beverage,"20,000-100,000",Hyderabad,Teens,Brand Awareness,0.76,Cricket
UniqueCompany_60,Fashion,"20,000-100,000",Bhopal,Adults,Brand Awareness,3.98,Tennis
UniqueCompany_61,Fashion,"Over 100,000",Chennai,Young Adults,Brand Awareness,1.46,Tennis
UniqueCompany_62,Sports,"5,000-20,000",Aurangabad,Teens,Sales Increase,2.75,Cricket
UniqueCompany_63,Sports,"Over 100,000",Ahmedabad,Young Adults,Market Expansion,1.71,Wrestling
UniqueCompany_64,Sports,"5,000-20,000",Aurangabad,Teens,Brand Awareness,1.22,F1-Racing
UniqueCompany_65,Finance,"20,000-100,000",Mumbai,Teens,Brand Awareness,2.25,F1-Racing
UniqueCompany_66,Finance,"20,000-100,000",Faridabad,Seniors,Market Expansion,1.05,Basketball
UniqueCompany_67,Healthcare,"Over 100,000",Srinagar,Teens,Brand Awareness,2.14,F1-Racing
UniqueCompany_68,Food & Beverage,"5,000-20,000",Nagpur,Teens,Market Expansion,2.91,Cricket
UniqueCompany_69,Food & Beverage,"5,000-20,000",Aurangabad,Young Adults,Market Expansion,3.07,Soccer
UniqueCompany_70,Sports,"5,000-20,000",Chennai,Young Adults,Brand Awareness,1.39,Cricket
UniqueCompany_71,Technology,"1,000-5,000",Jaipur,Adults,Market Expansion,4.14,Cricket
UniqueCompany_72,Technology,"Over 100,000",Chennai,Teens,Sales Increase,2.85,F1-Racing
UniqueCompany_73,Finance,"1,000-5,000",Ahmedabad,Seniors,Brand Awareness,0.97,Athletics
UniqueCompany_74,Sports,"5,000-20,000",Allahabad,Young Adults,Sales Increase,2.44,Cricket
UniqueCompany_75,Sports,"5,000-20,000",Indore,Young Adults,Brand Awareness,2.51,Cricket
UniqueCompany_76,Finance,"1,000-5,000",Dhanbad,Teens,Brand Awareness,1.2,Wrestling
UniqueCompany_77,Sports,"5,000-20,000",Nashik,Adults,Brand Awareness,3.94,Basketball
UniqueCompany_78,Fashion,"5,000-20,000",Mumbai,Teens,Brand Awareness,4.77,Soccer
UniqueCompany_79,Healthcare,"5,000-20,000",Bhopal,Teens,Market Expansion,1.7,Tennis
UniqueCompany_80,Healthcare,"Over 100,000",Faridabad,Seniors,Sales Increase,2.15,Swimming
UniqueCompany_81,Technology,"Over 100,000",Rajkot,Adults,Market Expansion,3.76,Tennis
UniqueCompany_82,Fashion,"5,000-20,000",Rajkot,Young Adults,Brand Awareness,3.47,F1-Racing
UniqueCompany_83,Finance,"Over 100,000",Nashik,Young Adults,Brand Awareness,2.45,Soccer
UniqueCompany_84,Fashion,"1,000-5,000",Agra,Young Adults,Market Expansion,3.69,Swimming
UniqueCompany_85,Food & Beverage,"20,000-100,000",Patna,Teens,Market Expansion,2.19,Cricket
UniqueCompany_86,Finance,"1,000-5,000",Thane,Teens,Brand Awareness,0.91,Wrestling
UniqueCompany_87,Healthcare,"1,000-5,000",Hyderabad,Teens,Sales Increase,3.81,Swimming
UniqueCompany_88,Finance,"20,000-100,000",Bhopal,Seniors,Sales Increase,3.42,Wrestling
UniqueCompany_89,Food & Beverage,"5,000-20,000",Rajkot,Teens,Brand Awareness,4.27,Wrestling
UniqueCompany_90,Technology,"1,000-5,000",Jaipur,Teens,Sales Increase,2.3,Soccer
UniqueCompany_91,Finance,"20,000-100,000",Vadodara,Young Adults,Brand Awareness,2.29,Soccer
UniqueCompany_92,Food & Beverage,"5,000-20,000",Nagpur,Young Adults,Brand Awareness,3.57,Athletics
UniqueCompany_93,Fashion,"Over 100,000",Agra,Young Adults,Sales Increase,3.02,Athletics
UniqueCompany_94,Healthcare,"1,000-5,000",Nashik,Young Adults,Sales Increase,1.7,Wrestling
UniqueCompany_95,Fashion,"1,000-5,000",Meerut,Young Adults,Sales Increase,3.15,F1-Racing
UniqueCompany_96,Fashion,"20,000-100,000",Bhopal,Teens,Brand Awareness,2.47,Soccer
UniqueCompany_97,Fashion,"Over 100,000",Visakhapatnam,Adults,Sales Increase,0.58,F1-Racing
UniqueCompany_98,Finance,"Over 100,000",Nagpur,Seniors,Sales Increase,3.01,Tennis
UniqueCompany_99,Healthcare,"5,000-20,000",Pune,Adults,Brand Awareness,3.37,Soccer
UniqueCompany_100,Food & Beverage,"1,000-5,000",Srinagar,Young Adults,Sales Increase,1,Soccer
UniqueCompany_101,Healthcare,"5,000-20,000",Bangalore,Teens,Market Expansion,0.73,Wrestling
UniqueCompany_102,Finance,"20,000-100,000",Bangalore,Seniors,Sales Increase,3.66,Cricket
UniqueCompany_103,Healthcare,"Over 100,000",Vadodara,Young Adults,Market Expansion,0.94,Swimming
UniqueCompany_104,Healthcare,"5,000-20,000",Srinagar,Seniors,Brand Awareness,2.66,Tennis
UniqueCompany_105,Technology,"5,000-20,000",Faridabad,Seniors,Market Expansion,4.95,F1-Racing
UniqueCompany_106,Sports,"Over 100,000",Amritsar,Young Adults,Sales Increase,0.58,Soccer
UniqueCompany_107,Food & Beverage,"5,000-20,000",Meerut,Adults,Brand Awareness,3.67,F1-Racing
UniqueCompany_108,Finance,"Over 100,000",Jaipur,Adults,Sales Increase,2.86,Football
UniqueCompany_109,Sports,"20,000-100,000",Indore,Young Adults,Market Expansion,4.86,Football
UniqueCompany_110,Healthcare,"5,000-20,000",Agra,Seniors,Brand Awareness,4.18,F1-Racing
UniqueCompany_111,Healthcare,"5,000-20,000",Patna,Teens,Sales Increase,4.51,Tennis
UniqueCompany_112,Technology,"5,000-20,000",Bhopal,Adults,Sales Increase,4.24,Cricket
UniqueCompany_113,Technology,"20,000-100,000",Faridabad,Teens,Market Expansion,2.4,Tennis
UniqueCompany_114,Technology,"1,000-5,000",Kolkata,Young Adults,Brand Awareness,1.73,Tennis
UniqueCompany_115,Finance,"Over 100,000",Aurangabad,Adults,Sales Increase,4.69,Soccer
UniqueCompany_116,Sports,"1,000-5,000",Hyderabad,Young Adults,Market Expansion,2.63,Football
UniqueCompany_117,Finance,"20,000-100,000",Ludhiana,Teens,Brand Awareness,4.51,Basketball
UniqueCompany_118,Technology,"20,000-100,000",Srinagar,Adults,Market Expansion,2.12,Tennis
UniqueCompany_119,Fashion,"1,000-5,000",Visakhapatnam,Seniors,Brand Awareness,0.91,Cricket
UniqueCompany_120,Finance,"20,000-100,000",Kolkata,Teens,Sales Increase,1.98,Soccer
UniqueCompany_121,Healthcare,"20,000-100,000",Ludhiana,Teens,Sales Increase,2.4,Football
UniqueCompany_122,Food & Beverage,"5,000-20,000",Kolkata,Young Adults,Market Expansion,1.46,F1-Racing
UniqueCompany_123,Sports,"1,000-5,000",Bhopal,Seniors,Market Expansion,4.08,Basketball
UniqueCompany_124,Technology,"Over 100,000",Agra,Seniors,Brand Awareness,0.52,Soccer
UniqueCompany_125,Sports,"20,000-100,000",Aurangabad,Adults,Market Expansion,2.72,Swimming
UniqueCompany_126,Healthcare,"1,000-5,000",Chennai,Young Adults,Sales Increase,3.57,Basketball
UniqueCompany_127,Finance,"1,000-5,000",Aurangabad,Seniors,Brand Awareness,4,Cricket
UniqueCompany_128,Food & Beverage,"1,000-5,000",Ludhiana,Adults,Market Expansion,2.8,F1-Racing
UniqueCompany_129,Finance,"20,000-100,000",Pune,Teens,Brand Awareness,1.51,Basketball
UniqueCompany_130,Food & Beverage,"20,000-100,000",Varanasi,Young Adults,Brand Awareness,2.79,Cricket
UniqueCompany_131,Healthcare,"20,000-100,000",Lucknow,Seniors,Sales Increase,3.55,Cricket
UniqueCompany_132,Finance,"5,000-20,000",Amritsar,Teens,Sales Increase,3.82,Basketball
UniqueCompany_133,Healthcare,"1,000-5,000",Mumbai,Adults,Brand Awareness,4.77,Tennis
UniqueCompany_134,Finance,"Over 100,000",Mumbai,Young Adults,Brand Awareness,2.98,Basketball
UniqueCompany_135,Fashion,"20,000-100,000",Delhi,Adults,Sales Increase,1.58,Basketball
UniqueCompany_136,Technology,"20,000-100,000",Visakhapatnam,Adults,Sales Increase,2.07,Football
UniqueCompany_137,Fashion,"Over 100,000",Thane,Seniors,Market Expansion,3.74,Cricket
UniqueCompany_138,Fashion,"20,000-100,000",Bhopal,Adults,Market Expansion,1.94,Tennis
UniqueCompany_139,Sports,"1,000-5,000",Surat,Adults,Brand Awareness,0.94,Football
UniqueCompany_140,Food & Beverage,"1,000-5,000",Bhopal,Teens,Sales Increase,2.16,Athletics
UniqueCompany_141,Finance,"20,000-100,000",Ghaziabad,Young Adults,Brand Awareness,1.86,Swimming
UniqueCompany_142,Finance,"Over 100,000",Visakhapatnam,Young Adults,Brand Awareness,2.34,Cricket
UniqueCompany_143,Food & Beverage,"Over 100,000",Dhanbad,Teens,Sales Increase,2.87,Athletics
UniqueCompany_144,Food & Beverage,"20,000-100,000",Allahabad,Seniors,Sales Increase,1.23,Wrestling
UniqueCompany_145,Sports,"1,000-5,000",Agra,Adults,Market Expansion,2.01,Soccer
UniqueCompany_146,Fashion,"Over 100,000",Kolkata,Seniors,Market Expansion,2.9,Soccer
UniqueCompany_147,Food & Beverage,"5,000-20,000",Bhopal,Teens,Sales Increase,4.25,Football
UniqueCompany_148,Finance,"Over 100,000",Srinagar,Teens,Sales Increase,3.05,Soccer
UniqueCompany_149,Finance,"1,000-5,000",Kanpur,Young Adults,Market Expansion,0.92,Athletics
UniqueCompany_150,Fashion,"Over 100,000",Nashik,Adults,Sales Increase,4.64,Tennis
UniqueCompany_151,Food & Beverage,"Over 100,000",Vadodara,Adults,Market Expansion,1.73,F1-Racing
UniqueCompany_152,Technology,"5,000-20,000",Bangalore,Adults,Brand Awareness,2.98,Basketball
UniqueCompany_153,Sports,"1,000-5,000",Ludhiana,Adults,Sales Increase,3.15,Wrestling
UniqueCompany_154,Sports,"1,000-5,000",Delhi,Seniors,Sales Increase,4.82,Athletics
UniqueCompany_155,Technology,"5,000-20,000",Dhanbad,Adults,Brand Awareness,4.14,Swimming
UniqueCompany_156,Healthcare,"5,000-20,000",Ghaziabad,Adults,Market Expansion,3.14,Tennis
UniqueCompany_157,Healthcare,"5,000-20,000",Thane,Teens,Market Expansion,2.52,Basketball
UniqueCompany_158,Finance,"1,000-5,000",Rajkot,Young Adults,Sales Increase,4.84,Basketball
UniqueCompany_159,Finance,"Over 100,000",Chennai,Seniors,Market Expansion,4.33,Football
UniqueCompany_160,Healthcare,"5,000-20,000",Lucknow,Young Adults,Sales Increase,4.88,Cricket
UniqueCompany_161,Fashion,"1,000-5,000",Pune,Young Adults,Sales Increase,0.89,Swimming
UniqueCompany_162,Healthcare,"5,000-20,000",Meerut,Teens,Brand Awareness,0.85,F1-Racing
UniqueCompany_163,Finance,"5,000-20,000",Lucknow,Teens,Brand Awareness,1.35,Swimming
UniqueCompany_164,Fashion,"Over 100,000",Ahmedabad,Young Adults,Brand Awareness,1.1,F1-Racing
UniqueCompany_165,Sports,"1,000-5,000",Nagpur,Young Adults,Market Expansion,2.44,Swimming
UniqueCompany_166,Food & Beverage,"Over 100,000",Srinagar,Seniors,Sales Increase,1.5,Swimming
UniqueCompany_167,Sports,"20,000-100,000",Surat,Young Adults,Brand Awareness,4.6,Soccer
UniqueCompany_168,Fashion,"20,000-100,000",Ghaziabad,Teens,Sales Increase,0.9,Cricket
UniqueCompany_169,Healthcare,"20,000-100,000",Pune,Young Adults,Brand Awareness,3.36,Soccer
UniqueCompany_170,Fashion,"20,000-100,000",Amritsar,Seniors,Market Expansion,1.58,Soccer
UniqueCompany_171,Sports,"1,000-5,000",Faridabad,Seniors,Brand Awareness,1.72,Soccer
UniqueCompany_172,Technology,"20,000-100,000",Amritsar,Teens,Sales Increase,2.34,Swimming
UniqueCompany_173,Finance,"Over 100,000",Allahabad,Teens,Sales Increase,1.16,Cricket
UniqueCompany_174,Fashion,"Over 100,000",Lucknow,Young Adults,Market Expansion,3.64,Wrestling
UniqueCompany_175,Technology,"5,000-20,000",Meerut,Teens,Brand Awareness,2.01,F1-Racing
UniqueCompany_176,Healthcare,"5,000-20,000",Ghaziabad,Seniors,Brand Awareness,3.81,Basketball
UniqueCompany_177,Sports,"1,000-5,000",Rajkot,Young Adults,Market Expansion,4.3,Tennis
UniqueCompany_178,Finance,"5,000-20,000",Bangalore,Teens,Brand Awareness,3.21,Soccer
UniqueCompany_179,Healthcare,"5,000-20,000",Vadodara,Teens,Brand Awareness,1.32,Swimming
UniqueCompany_180,Fashion,"Over 100,000",Allahabad,Teens,Sales Increase,2.8,Basketball
UniqueCompany_181,Food & Beverage,"5,000-20,000",Allahabad,Teens,Market Expansion,2.8,Soccer
UniqueCompany_182,Fashion,"Over 100,000",Hyderabad,Adults,Market Expansion,3.24,Athletics
UniqueCompany_183,Healthcare,"5,000-20,000",Ahmedabad,Teens,Sales Increase,2.69,Wrestling
UniqueCompany_184,Healthcare,"Over 100,000",Pune,Young Adults,Sales Increase,0.75,Tennis
UniqueCompany_185,Technology,"Over 100,000",Visakhapatnam,Seniors,Market Expansion,1.18,Basketball
UniqueCompany_186,Fashion,"Over 100,000",Amritsar,Young Adults,Brand Awareness,4.08,Soccer
UniqueCompany_187,Food & Beverage,"5,000-20,000",Thane,Young Adults,Market Expansion,2.33,Basketball
UniqueCompany_188,Finance,"1,000-5,000",Amritsar,Seniors,Sales Increase,3.72,Cricket
UniqueCompany_189,Technology,"20,000-100,000",Chennai,Adults,Sales Increase,4.54,Cricket
UniqueCompany_190,Finance,"1,000-5,000",Ghaziabad,Adults,Sales Increase,4.52,Soccer
UniqueCompany_191,Healthcare,"1,000-5,000",Kanpur,Teens,Market Expansion,1.48,F1-Racing
UniqueCompany_192,Food & Beverage,"1,000-5,000",Chennai,Seniors,Sales Increase,4.69,Football
UniqueCompany_193,Fashion,"1,000-5,000",Visakhapatnam,Adults,Market Expansion,2.36,Soccer
UniqueCompany_194,Healthcare,"Over 100,000",Vadodara,Teens,Market Expansion,1.11,F1-Racing
UniqueCompany_195,Technology,"20,000-100,000",Kolkata,Seniors,Sales Increase,1.89,Soccer
UniqueCompany_196,Sports,"Over 100,000",Faridabad,Adults,Brand Awareness,3.51,Wrestling
UniqueCompany_197,Finance,"5,000-20,000",Kolkata,Teens,Brand Awareness,2.99,Tennis
UniqueCompany_198,Technology,"Over 100,000",Rajkot,Adults,Brand Awareness,2.63,Football
UniqueCompany_199,Healthcare,"1,000-5,000",Chennai,Young Adults,Brand Awareness,2.1,Football
UniqueCompany_200,Fashion,"Over 100,000",Indore,Adults,Sales Increase,1.91,Basketball
UniqueCompany_201,Healthcare,"1,000-5,000",Bhopal,Seniors,Brand Awareness,1.17,Wrestling
UniqueCompany_202,Finance,"5,000-20,000",Rajkot,Adults,Brand Awareness,2.41,Cricket
UniqueCompany_203,Finance,"20,000-100,000",Amritsar,Young Adults,Brand Awareness,4.95,Wrestling
UniqueCompany_204,Finance,"1,000-5,000",Bangalore,Teens,Sales Increase,1.79,Swimming
UniqueCompany_205,Sports,"1,000-5,000",Rajkot,Adults,Sales Increase,3.23,Athletics
UniqueCompany_206,Technology,"5,000-20,000",Dhanbad,Seniors,Brand Awareness,0.79,Wrestling
UniqueCompany_207,Food & Beverage,"20,000-100,000",Varanasi,Teens,Sales Increase,2.95,Swimming
UniqueCompany_208,Food & Beverage,"20,000-100,000",Ahmedabad,Teens,Sales Increase,3.92,Swimming
UniqueCompany_209,Sports,"5,000-20,000",Lucknow,Young Adults,Brand Awareness,4.32,F1-Racing
UniqueCompany_210,Technology,"Over 100,000",Ahmedabad,Adults,Market Expansion,1.68,Soccer
UniqueCompany_211,Sports,"Over 100,000",Nashik,Young Adults,Market Expansion,1.08,Cricket
UniqueCompany_212,Healthcare,"20,000-100,000",Allahabad,Young Adults,Sales Increase,3.23,Athletics
UniqueCompany_213,Sports,"1,000-5,000",Nagpur,Young Adults,Brand Awareness,4.9,Wrestling
UniqueCompany_214,Fashion,"1,000-5,000",Rajkot,Teens,Brand Awareness,4.92,Athletics
UniqueCompany_215,Finance,"20,000-100,000",Indore,Young Adults,Brand Awareness,2.5,Wrestling
UniqueCompany_216,Finance,"20,000-100,000",Aurangabad,Seniors,Sales Increase,4.68,Tennis
UniqueCompany_217,Fashion,"Over 100,000",Visakhapatnam,Adults,Sales Increase,0.57,Tennis
UniqueCompany_218,Fashion,"1,000-5,000",Meerut,Teens,Market Expansion,1.07,Tennis
UniqueCompany_219,Finance,"5,000-20,000",Delhi,Adults,Market Expansion,1.98,Swimming
UniqueCompany_220,Food & Beverage,"Over 100,000",Amritsar,Teens,Sales Increase,1.14,Tennis
UniqueCompany_221,Fashion,"5,000-20,000",Hyderabad,Teens,Sales Increase,1.62,Tennis
UniqueCompany_222,Technology,"1,000-5,000",Ahmedabad,Adults,Sales Increase,2.54,Tennis
UniqueCompany_223,Finance,"Over 100,000",Visakhapatnam,Seniors,Brand Awareness,1.44,Soccer
UniqueCompany_224,Sports,"20,000-100,000",Bhopal,Young Adults,Brand Awareness,4,Football
UniqueCompany_225,Sports,"5,000-20,000",Vadodara,Seniors,Market Expansion,3.16,Swimming
UniqueCompany_226,Sports,"Over 100,000",Vadodara,Adults,Sales Increase,1.05,Wrestling
UniqueCompany_227,Food & Beverage,"5,000-20,000",Surat,Teens,Sales Increase,2.13,Football
UniqueCompany_228,Finance,"5,000-20,000",Bangalore,Young Adults,Brand Awareness,3.89,Soccer
UniqueCompany_229,Finance,"5,000-20,000",Bhopal,Young Adults,Sales Increase,2.7,Football
UniqueCompany_230,Finance,"Over 100,000",Vadodara,Adults,Brand Awareness,4.96,Cricket
UniqueCompany_231,Sports,"Over 100,000",Ghaziabad,Young Adults,Brand Awareness,2.96,Football
UniqueCompany_232,Fashion,"1,000-5,000",Ghaziabad,Teens,Market Expansion,2.49,F1-Racing
UniqueCompany_233,Sports,"Over 100,000",Rajkot,Young Adults,Brand Awareness,3.04,Tennis
UniqueCompany_234,Finance,"Over 100,000",Chennai,Seniors,Brand Awareness,3.36,Cricket
UniqueCompany_235,Technology,"5,000-20,000",Ghaziabad,Young Adults,Brand Awareness,2.21,Soccer
UniqueCompany_236,Technology,"5,000-20,000",Chennai,Adults,Sales Increase,2.2,Athletics
UniqueCompany_237,Fashion,"5,000-20,000",Hyderabad,Adults,Brand Awareness,4.92,Wrestling
UniqueCompany_238,Technology,"20,000-100,000",Mumbai,Seniors,Market Expansion,0.67,Cricket
UniqueCompany_239,Finance,"Over 100,000",Vadodara,Adults,Market Expansion,2.66,F1-Racing
UniqueCompany_240,Food & Beverage,"20,000-100,000",Srinagar,Young Adults,Market Expansion,3.56,F1-Racing
UniqueCompany_241,Food & Beverage,"1,000-5,000",Bhopal,Adults,Market Expansion,2.38,Cricket
UniqueCompany_242,Finance,"5,000-20,000",Surat,Seniors,Sales Increase,1.91,Wrestling
UniqueCompany_243,Sports,"1,000-5,000",Nashik,Teens,Sales Increase,3.16,Athletics
UniqueCompany_244,Technology,"20,000-100,000",Thane,Teens,Market Expansion,2.07,Tennis
UniqueCompany_245,Finance,"20,000-100,000",Indore,Seniors,Brand Awareness,3.27,Swimming
UniqueCompany_246,Finance,"5,000-20,000",Aurangabad,Adults,Market Expansion,3.1,Wrestling
UniqueCompany_247,Technology,"1,000-5,000",Meerut,Seniors,Market Expansion,1.09,Soccer
UniqueCompany_248,Technology,"1,000-5,000",Bangalore,Seniors,Sales Increase,1.15,Cricket
UniqueCompany_249,Sports,"Over 100,000",Amritsar,Young Adults,Brand Awareness,2.24,Football
UniqueCompany_250,Finance,"20,000-100,000",Chennai,Young Adults,Brand Awareness,4.76,Wrestling
